num_waypoints,trial,iris_time,gcs_time,path_length,success,num_regions,error_message
4,0,9.324862166016828,9.170797420665622e-05,,False,5,
4,1,7.5816237499821,0.01954549999209121,0.4147929252207716,True,5,
4,2,7.2625974160037,0.0002192090032622218,,False,5,
6,0,0.0,0.0,,False,0,"IK failed for waypoint 'middle1' at [0.773664424312258, 0.0, 0.416]"
6,1,0.0,0.0,,False,0,"IK failed for waypoint 'middle1' at [0.773664424312258, 0.0, 0.416]"
6,2,0.0,0.0,,False,0,"IK failed for waypoint 'middle1' at [0.773664424312258, 0.0, 0.416]"
8,0,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
8,1,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
8,2,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
10,0,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,1,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
10,2,0.0,0.0,,False,0,The current center of the IRIS region is within options.configuration_space_margin of being infeasible.  Check your sample point and/or any additional constraints you've passed in via the options. The configuration space surrounding the sample point must have an interior.
12,0,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
12,1,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
12,2,0.0,0.0,,False,0,The seed point is in collision; geometry gripper::collision is in collision with geometry shelves::shelf_upper
